player_positions,long_name,overall,age,height_cm,club_name,league_name,skill_dribbling,pace,shooting,passing,dribbling,defending,physic,preferred_foot,goalkeeping_diving
"CB, RB",Mamadou Ibra Mbacke Fall,70,21,189,FC Barcelona,La Liga,52,68.0,34.0,48.0,57.0,70.0,74.0,Right,14
"RB, CB",Alexandre Manuel Penetra Correia,70,21,186,AZ Alkmaar,Eredivisie,39,67.0,36.0,52.0,48.0,71.0,72.0,Right,7
"CAM, CM",James McAtee,70,20,180,Sheffield United,Premier League,74,72.0,63.0,66.0,73.0,41.0,60.0,Left,12
"CB, CDM, CM",Junior Mwanga,70,20,184,Strasbourg,Ligue 1,62,68.0,45.0,59.0,63.0,70.0,72.0,Right,14
ST,Juan Miguel Latasa Fernandez Layos,70,22,192,Getafe,La Liga,67,64.0,70.0,50.0,63.0,21.0,65.0,Left,15
CB,Cheick Keita,70,20,185,Bastia,Ligue 2,49,49.0,30.0,43.0,52.0,71.0,71.0,Right,5
"ST, RW",Matija Frigan,70,20,185,Westerlo,Jupiler Pro League,71,79.0,69.0,58.0,70.0,37.0,79.0,Left,6
CB,Juan Berrocal González,70,23,187,SD Eibar,La Liga 2,39,59.0,38.0,50.0,51.0,70.0,74.0,Right,11
"RWB, RB",Bryan Reynolds,70,22,188,Westerlo,Jupiler Pro League,62,68.0,47.0,62.0,62.0,66.0,67.0,Right,14
"LM, CAM, RM",Juan Cruz Díaz Espósito,70,23,177,Real Betis,La Liga,78,78.0,67.0,67.0,75.0,32.0,42.0,Left,9
"CB, LB",Johan Felipe Vásquez Ibarra,70,24,185,Genoa,Serie A,50,63.0,32.0,57.0,55.0,72.0,73.0,Left,9
"CAM, CM",Sem Steijn,70,21,173,FC Twente,Eredivisie,75,63.0,67.0,67.0,74.0,34.0,65.0,Right,7
CB,Abdelkabir Abqar,70,24,188,Deportivo Alavés,La Liga,43,47.0,31.0,49.0,53.0,71.0,65.0,Right,9
"CAM, ST, CF",Joe Gelhardt,70,21,179,Leeds United,Championship,76,74.0,69.0,60.0,76.0,29.0,68.0,Left,6
"RB, RWB",Oliver Marc Rose-Villadsen,70,21,176,Nordsjælland,Superliga,70,85.0,48.0,63.0,72.0,62.0,65.0,Right,8
"ST, LM",Ramiro Ruiz Rodríguez,70,23,185,Atlético Tucumán,Liga Profesional,72,79.0,68.0,66.0,70.0,38.0,67.0,Right,8
"RB, RWB, RM",Sergio Carreira Vilariño,70,22,170,Elche,La Liga 2,59,63.0,40.0,61.0,64.0,67.0,52.0,Right,14
"LB, LWB",Darlin Zidane Yongwa Ngameni,70,22,174,Lorient,Ligue 1,63,84.0,40.0,59.0,67.0,64.0,70.0,Left,7
"LB, LM",Paolo Alessandro Reyna Lea,70,21,183,Melgar,Primera Division,45,84.0,55.0,63.0,59.0,62.0,71.0,Left,6
"RB, RWB",Cody Callum Pierre Drameh,70,21,184,Birmingham City,Championship,71,80.0,35.0,61.0,68.0,66.0,70.0,Right,13
"CDM, CM",Miguel Ángel Atienza Villa,70,24,186,Burgos,La Liga 2,66,56.0,61.0,62.0,66.0,65.0,68.0,Right,14
"CM, RM, LM",Javier Martínez Calvo,70,23,180,Huesca,La Liga 2,71,65.0,63.0,63.0,70.0,57.0,68.0,Right,13
"RB, RWB",Timothée Joseph Pembélé,70,20,182,Sunderland,Championship,69,86.0,49.0,63.0,71.0,64.0,64.0,Right,11
ST,Junior Chukwubuike Adamu,70,22,183,SC Freiburg,Bundesliga,68,81.0,69.0,52.0,68.0,22.0,68.0,Right,7
"RM, LM, CAM",Miguel Baeza Pérez,70,23,177,Mirandés,La Liga 2,69,65.0,64.0,72.0,70.0,44.0,50.0,Left,7
"CAM, CM",Afonso Gamelas de Pinho Sousa,70,23,174,Lech Poznań,Ekstraklasa,73,78.0,62.0,66.0,73.0,56.0,54.0,Right,5
"CDM, CM",Víctor Andrés Meseguer Cavas,70,24,184,Real Valladolid,La Liga 2,69,63.0,59.0,67.0,67.0,67.0,70.0,Right,12
CB,Aitor Paredes Casamichana,70,23,186,Athletic Club,La Liga,42,63.0,31.0,47.0,52.0,70.0,67.0,Right,14
"CDM, CM",Jesús Abdallah Castillo Molina,70,22,184,Gil Vicente,Liga Portugal,62,57.0,57.0,66.0,65.0,63.0,74.0,Right,13
LB,Imanol García de Albéniz Crecente,70,22,177,Athletic Club,La Liga,65,67.0,47.0,66.0,65.0,68.0,55.0,Left,10
"RM, LM",Antony Alves Santos,70,21,178,Portland Timbers,Major League Soccer,76,83.0,58.0,63.0,73.0,38.0,51.0,Right,6
"CAM, ST, CF",Franco Misael Fagúndez Rosa,70,22,187,Nacional,Primera Division,72,73.0,74.0,66.0,71.0,26.0,68.0,Right,12
"CM, CDM, LM",Nelson Alexander Deossa Suárez,70,23,178,Atlético Nacional,Liga BetPlay,70,72.0,64.0,66.0,71.0,64.0,69.0,Left,9
CB,Bruno Amione,70,21,187,Hellas Verona,Serie A,44,64.0,36.0,52.0,49.0,68.0,81.0,Left,10
"LM, LWB, LB",Cristian Gutiérrez Vizcaíno,70,22,177,SD Eibar,La Liga 2,70,76.0,63.0,68.0,71.0,67.0,53.0,Left,14
"CB, RB, LB",Alexandru Ștefan Pașcanu,70,24,187,Sporting Gijón,La Liga 2,48,71.0,39.0,51.0,58.0,68.0,81.0,Right,7
"CF, CAM",Mattéo Tramoni,70,23,175,Pisa,Serie B,72,83.0,64.0,66.0,73.0,48.0,62.0,Right,11
ST,Antoine Semenyo,70,23,180,AFC Bournemouth,Premier League,72,82.0,68.0,59.0,70.0,22.0,72.0,Right,10
CB,Tayyib Talha Sanuç,70,23,188,Beşiktaş,Super Lig,55,60.0,43.0,48.0,58.0,69.0,75.0,Right,8
CB,Sebastian Wiktor Walukiewicz,70,23,188,Empoli,Serie A,56,59.0,38.0,49.0,59.0,71.0,74.0,Right,10
"CM, CDM",Wouter Burger,70,22,191,Stoke City,Championship,67,76.0,63.0,69.0,68.0,62.0,78.0,Left,10
"CB, RB",Adrián de la Fuente Barquilla,70,24,179,Levante,La Liga 2,53,58.0,55.0,62.0,58.0,71.0,68.0,Right,15
"LM, LWB, LW",Álvaro Martín Barreal,70,22,172,Cincinnati,Major League Soccer,74,79.0,64.0,66.0,72.0,45.0,58.0,Left,13
"RM, ST, LM",Víctor Mollejo Carpintero,70,22,176,Real Zaragoza,La Liga 2,67,82.0,63.0,64.0,69.0,37.0,69.0,Left,14
"CB, RB",Giulian Biancone,70,23,187,Nottingham Forest,Premier League,66,64.0,45.0,62.0,65.0,69.0,72.0,Right,8
"RB, RWB",Jeremy Ngakia,70,22,178,Watford,Championship,68,72.0,28.0,53.0,66.0,68.0,63.0,Right,13
GK,Mihai Marian Aioani,70,23,187,SSC Farul,Liga 1,6,,,,,,,Right,70
"CM, RM",Romário Manuel Silva Baró,70,23,180,Porto,Liga Portugal,73,71.0,67.0,69.0,73.0,54.0,60.0,Right,7
"CDM, CM, CB",Alexis Adelin Beka Beka,70,22,178,Nice,Ligue 1,72,74.0,57.0,63.0,71.0,67.0,71.0,Right,11
"CDM, CM",Aidan Morris,70,21,178,Columbus Crew,Major League Soccer,64,73.0,51.0,58.0,66.0,68.0,76.0,Right,6
"ST, LW",Amin Sarr,70,22,188,VfL Wolfsburg,Bundesliga,71,91.0,67.0,58.0,69.0,25.0,68.0,Right,8
"CM, CDM",Enzo Martín Roldán,70,22,176,Unión Santa Fe,Liga Profesional,67,76.0,65.0,67.0,68.0,65.0,65.0,Right,7
"ST, RW",Evann Guessand,70,22,185,Nice,Ligue 1,69,76.0,69.0,55.0,68.0,25.0,69.0,Right,7
CM,Naouirou Ahamada,70,21,183,Crystal Palace,Premier League,77,66.0,61.0,65.0,75.0,61.0,62.0,Right,13
CDM,Tim Breithaupt,70,21,186,FC Augsburg,Bundesliga,57,49.0,41.0,60.0,58.0,69.0,71.0,Right,11
"LM, CAM, ST",Ignacio Schor,70,22,182,Newell's Old Boys,Liga Profesional,70,75.0,62.0,67.0,70.0,51.0,64.0,Right,7
CB,Carlos Domínguez Cáceres,70,22,187,Celta de Vigo,La Liga,38,66.0,28.0,52.0,51.0,71.0,62.0,Left,5
"CDM, CM",Dirk Proper,70,21,168,NEC,Eredivisie,75,62.0,51.0,65.0,74.0,64.0,59.0,Right,13
"CB, RWB, RB",Gonzalo Luján Melli,70,22,182,San Lorenzo,Liga Profesional,57,65.0,34.0,56.0,59.0,69.0,76.0,Right,10
"CDM, CM",Njegoš Petrović,70,23,185,Granada,La Liga,55,58.0,51.0,66.0,62.0,66.0,75.0,Right,5
"LWB, LM, LW",Fábio Ronaldo Costa Conceição,70,22,178,Rio Ave,Liga Portugal,72,82.0,69.0,61.0,70.0,63.0,60.0,Right,12
"CM, CDM",Leonardo Adelino da Silva Lopes,70,24,168,Cercle Brugge,Jupiler Pro League,70,77.0,61.0,67.0,73.0,65.0,69.0,Right,10
CB,Gabriel Osho,70,24,185,Luton Town,Premier League,60,72.0,30.0,54.0,62.0,70.0,74.0,Right,9
GK,Radosław Majecki,70,23,193,Monaco,Ligue 1,27,,,,,,,Right,70
CB,Khalid Abdul Mumin Suleman,70,25,188,Rayo Vallecano,La Liga,62,77.0,36.0,57.0,63.0,69.0,74.0,Right,13
CB,Harry Jack Darling,70,23,189,Swansea City,Championship,62,69.0,45.0,57.0,62.0,69.0,75.0,Right,14
"CM, CAM",Denis Genreau,70,24,175,Toulouse,Ligue 1,68,63.0,62.0,67.0,68.0,64.0,66.0,Right,10
"CAM, LM",Matías Nicolás Marín Vega,70,23,170,Belgrano,Liga Profesional,72,67.0,62.0,67.0,71.0,27.0,41.0,Left,15
ST,Ibrahima Koné,70,24,190,Almería,La Liga,66,77.0,69.0,52.0,67.0,31.0,79.0,Left,7
"CAM, LW, RW",Carlos Alonso Enrique Palacios Núñez,70,22,179,Colo-Colo,Primera Division,77,85.0,64.0,63.0,75.0,27.0,57.0,Right,13
"RWB, LWB",Felix Agu,70,23,180,Werder Bremen,Bundesliga,74,83.0,47.0,61.0,74.0,62.0,58.0,Right,11
CM,Finn Ole Becker,70,23,177,TSG Hoffenheim,Bundesliga,75,69.0,55.0,67.0,75.0,58.0,60.0,Left,8
ST,Djordje Jovanović,70,24,187,Basel,Super League,64,67.0,74.0,56.0,64.0,23.0,63.0,Right,7
"ST, RM, LM",Güven Yalçın,70,24,184,Fatih Karagümrük,Super Lig,72,78.0,72.0,61.0,71.0,23.0,62.0,Right,9
"CM, CDM",Jani Atanasov,70,23,184,Cracovia Kraków,Ekstraklasa,66,71.0,62.0,71.0,67.0,63.0,71.0,Right,12
CB,Alessandro Vogliacco,70,24,186,Genoa,Serie A,53,70.0,36.0,52.0,55.0,71.0,69.0,Right,8
ST,Federico Girotti Bonazza,70,24,190,San Lorenzo,Liga Profesional,65,67.0,70.0,57.0,65.0,36.0,74.0,Right,9
"CDM, CM",Gustavo Enrique Giordano Amaro Assunção da Silva,70,23,178,Famalicão,Liga Portugal,72,65.0,58.0,64.0,73.0,67.0,65.0,Right,6
"CM, LM, CAM",Kastriot Imeri,70,23,178,Young Boys,Super League,76,76.0,72.0,69.0,75.0,57.0,67.0,Right,13
RB,Rasmus Carstensen,70,22,183,FC Köln,Bundesliga,65,80.0,48.0,63.0,68.0,63.0,70.0,Right,9
"CDM, CM",Adrian Gheorghe Șut,70,24,186,FCSB,Liga 1,62,70.0,62.0,63.0,64.0,69.0,74.0,Right,13
ST,Kelvin Kwarteng Yeboah,70,23,185,Montpellier,Ligue 1,71,88.0,67.0,56.0,71.0,24.0,68.0,Right,7
"ST, LM, RM",Maurice Maximilian Malone,70,22,184,Basel,Super League,71,78.0,70.0,63.0,70.0,31.0,72.0,Left,15
CM,Filipe Miguel Barros Soares,70,24,180,PAOK,Super League,72,66.0,67.0,68.0,72.0,56.0,68.0,Right,12
"LM, CAM, CM",Adil Aouchiche,70,20,181,Sunderland,Championship,72,67.0,63.0,71.0,72.0,56.0,57.0,Right,8
"ST, CAM",Pedro Manuel Lobo Peixoto Mineiro Mendes,70,23,187,Ascoli,Serie B,65,71.0,72.0,56.0,67.0,34.0,76.0,Right,10
LM,Christos Tzolis,70,21,184,Fortuna Düsseldorf,2. Bundesliga,72,80.0,67.0,63.0,73.0,35.0,63.0,Right,15
"RB, RM",Fabiano Josué de Souza Silva,70,23,170,Moreirense,Liga Portugal,68,84.0,52.0,62.0,69.0,64.0,72.0,Right,9
"LB, LM, LWB",Lautaro Emanuel Blanco,70,24,176,Elche,La Liga 2,70,77.0,43.0,63.0,69.0,63.0,69.0,Left,8
"LWB, LM, RM",Nicolás Ezequiel Fernández Mercau,70,23,172,Elche,La Liga 2,75,82.0,63.0,67.0,74.0,62.0,64.0,Left,15
"RM, LM, ST",Tomás Agustín Pozzo,70,22,168,Independiente,Liga Profesional,74,76.0,61.0,67.0,74.0,45.0,54.0,Left,9
"ST, LM",Mateo Agustín Coronel,70,24,170,Atlético Tucumán,Liga Profesional,69,83.0,70.0,67.0,69.0,36.0,58.0,Right,15
"LWB, LB, LM",Jordan Bhekithemba Zemura,70,23,173,Udinese,Serie A,66,76.0,39.0,59.0,67.0,64.0,61.0,Left,11
"LB, CB",Evren Eren Elmalı,70,22,183,Trabzonspor,Super Lig,71,80.0,40.0,62.0,68.0,65.0,74.0,Left,9
"CB, RB",Edvin Kurtulus,70,23,185,Hammarby,Allsvenskan,64,77.0,39.0,58.0,64.0,71.0,72.0,Right,12
"LM, ST",Reda Jousef Khadra,70,21,180,Stade de Reims,Ligue 1,76,81.0,65.0,65.0,73.0,42.0,63.0,Right,10
CB,Braian Javier Salvareschi,70,24,183,Godoy Cruz,Liga Profesional,44,60.0,33.0,47.0,52.0,69.0,76.0,Right,8
"RB, CB",Louis Patris,70,22,185,Anderlecht,Jupiler Pro League,57,76.0,49.0,61.0,60.0,69.0,74.0,Right,13
"CDM, CM",Loreintz Rosier,70,24,190,Fortuna Sittard,Eredivisie,69,61.0,60.0,65.0,66.0,67.0,77.0,Right,7
"RM, RB",Rubén Sánchez Sáez,70,22,185,Mirandés,La Liga 2,67,82.0,62.0,64.0,68.0,62.0,70.0,Right,14
CB,David Brekalo,70,24,186,Viking,Eliteserien,61,73.0,27.0,48.0,61.0,69.0,81.0,Right,9
"CAM, CM, LM",Daniel dos Santos Penha,70,24,170,Western United,A-League,74,70.0,66.0,71.0,72.0,33.0,58.0,Left,6
"CB, RB",Marco Curto,70,24,191,Como,Serie B,44,65.0,37.0,48.0,50.0,70.0,78.0,Right,13
"CM, CDM, CB",Alberto del Moral Saelices,70,22,185,Villarreal II,La Liga 2,71,60.0,64.0,65.0,69.0,67.0,67.0,Right,6
ST,Brayan Léon Muñiz,70,22,175,Independiente Medellín,Liga BetPlay,63,80.0,69.0,52.0,67.0,20.0,61.0,Left,10
ST,Igor Thiago Rodrigues,70,22,188,Club Brugge,Jupiler Pro League,60,75.0,69.0,48.0,62.0,23.0,71.0,Right,14
"LW, RW",Renaldo Cephas,70,23,179,Ankaragücü,Super Lig,76,90.0,67.0,60.0,73.0,29.0,66.0,Right,13
ST,Giacomo Vrioni,70,24,188,New England,Major League Soccer,67,74.0,70.0,55.0,67.0,23.0,71.0,Left,6
"RM, ST",Joel Joshghene Asoro,70,24,176,Metz,Ligue 1,72,91.0,66.0,59.0,71.0,21.0,71.0,Right,8
ST,Nicolás Fernando Cordero,70,24,185,Huracán,Liga Profesional,70,68.0,71.0,64.0,68.0,30.0,72.0,Right,15
"ST, CAM, RM",Lukas Stephan Horst Daschner,70,24,182,VfL Bochum 1848,Bundesliga,73,70.0,69.0,65.0,73.0,47.0,66.0,Right,6
GK,Luca Zinedine Zidane,70,25,183,SD Eibar,La Liga 2,10,,,,,,,Right,72
"CDM, CM",Pablo Enrique Ruíz,70,24,172,Real Salt Lake,Major League Soccer,64,66.0,59.0,66.0,67.0,68.0,63.0,Left,8
GK,Manuel Roffo,70,23,184,Instituto,Liga Profesional,8,,,,,,,Right,73
"CF, CAM",Olimpiu Vasile Moruțan,70,24,172,Ankaragücü,Super Lig,72,74.0,69.0,68.0,73.0,46.0,55.0,Left,10
"ST, RM, RW",Marcus Forss,70,24,182,Middlesbrough,Championship,66,74.0,70.0,54.0,67.0,39.0,69.0,Right,14
"ST, CAM",Gastón Nicolás Verón,70,22,184,Argentinos Juniors,Liga Profesional,69,70.0,67.0,65.0,71.0,37.0,64.0,Right,8
"RM, CM, CAM",Álex Collado Gutiérrez,70,24,177,Al Okhdood,Pro League,74,58.0,68.0,73.0,72.0,58.0,56.0,Left,10
"RM, LM, ST",Alberto Soro Álvarez,70,24,173,Vizela,Liga Portugal,70,77.0,63.0,68.0,71.0,44.0,61.0,Left,12
"CAM, CM, LM",William Balikwisha,70,24,173,Standard Liège,Jupiler Pro League,77,76.0,62.0,64.0,76.0,41.0,57.0,Right,9
LB,Marcos Johan López Lanfranco,70,23,175,Feyenoord,Eredivisie,71,80.0,54.0,63.0,71.0,65.0,72.0,Left,6
"LM, RM",Olivier Deman,70,23,181,Werder Bremen,Bundesliga,68,76.0,63.0,68.0,69.0,65.0,71.0,Left,10
CB,Tomáš Vlček,70,22,182,Slavia Praha,Fortuna Liga,64,75.0,39.0,57.0,66.0,70.0,68.0,Right,6
"LM, RM, ST",Álex Bermejo Escribano,70,24,183,Burgos,La Liga 2,73,73.0,69.0,66.0,72.0,53.0,64.0,Right,12
"RB, RWB, RM",Gabriele Zappa,70,23,183,Cagliari,Serie A,69,80.0,53.0,60.0,67.0,65.0,72.0,Right,14
"ST, RW",Franck Cédric Tsadjout,70,23,190,Cremonese,Serie B,68,76.0,69.0,51.0,67.0,31.0,77.0,Left,10
CB,Giannis Michailidis,70,23,188,PAOK,Super League,56,68.0,51.0,63.0,61.0,71.0,68.0,Left,9
ST,Leonardo Campana Romero,70,23,187,Inter Miami,Major League Soccer,62,67.0,70.0,48.0,65.0,30.0,65.0,Left,7
"LM, LW, LWB",Gastón González,70,22,183,Orlando City,Major League Soccer,73,81.0,67.0,63.0,70.0,40.0,74.0,Left,12
"CM, CAM, CDM",Jordy José Alcívar Macías,70,23,168,Independiente del Valle,Liga Pro,66,66.0,66.0,68.0,69.0,63.0,71.0,Right,11
"RB, LB",Young Woo Seol,70,24,180,Ulsan,K League 1,62,81.0,47.0,64.0,65.0,62.0,72.0,Right,8
"CM, CDM",Paulo Estrela Moreira Alves,70,24,171,Portimonense,Liga Portugal,68,53.0,65.0,73.0,69.0,65.0,68.0,Right,8
GK,Maduka Emilio Okoye,70,23,198,Udinese,Serie A,14,,,,,,,Right,70
GK,Etienne Green,70,22,192,Saint-Étienne,Ligue 2,15,,,,,,,Right,70
"ST, CF",Abdallah Dipo Sima,70,22,188,Rangers,Premiership,66,87.0,69.0,62.0,67.0,41.0,69.0,Right,9
GK,Ivan Nevistić,70,24,193,Dinamo Zagreb,1. HNL,13,,,,,,,Right,73
CB,Eíran Cashin,70,21,180,Derby County,League One,58,61.0,36.0,56.0,58.0,69.0,81.0,Left,8
CB,Matej Maglica,70,24,198,Darmstadt 98,Bundesliga,37,38.0,50.0,46.0,44.0,68.0,82.0,Left,7
"ST, LM",Frank Magri,70,23,178,Toulouse,Ligue 1,69,76.0,71.0,58.0,70.0,21.0,63.0,Right,15
"RW, LW",João Pedro Ferreira Silva,70,23,179,Vitória SC,Liga Portugal,72,82.0,65.0,61.0,71.0,30.0,65.0,Right,14
ST,Bojan Miovski,70,24,189,Aberdeen,Premiership,63,68.0,71.0,50.0,65.0,28.0,65.0,Left,10
RM,Moses Usor,70,21,181,LASK Linz,Bundesliga,74,85.0,65.0,64.0,73.0,38.0,62.0,Left,14
CB,Mamadou Mbaye,70,25,193,Cádiz,La Liga,32,54.0,29.0,57.0,46.0,71.0,68.0,Right,15
"ST, LW",Matías Daniel Giménez Rojas,70,24,185,Independiente,Liga Profesional,74,72.0,68.0,63.0,72.0,31.0,64.0,Right,14
"CDM, CM",Juninho Bacuna,70,25,178,Birmingham City,Championship,74,73.0,68.0,70.0,73.0,65.0,77.0,Right,6
GK,Wuilker Fariñez Aray,70,25,180,Lens,Ligue 1,14,,,,,,,Right,70
"CDM, CM, LB",Vincent Marchetti,70,25,181,Ajaccio,Ligue 2,69,65.0,55.0,68.0,70.0,68.0,70.0,Left,12
CB,Oumar Gonzalez,70,25,187,Al Raed,Pro League,53,52.0,37.0,39.0,56.0,70.0,77.0,Right,8
CM,Mark Brink Christensen,70,25,174,Silkeborg,Superliga,66,65.0,55.0,67.0,69.0,62.0,68.0,Right,7
"CDM, CB",Jérémy Pierre Sincère Gelin,70,26,183,Amiens SC,Ligue 2,58,43.0,36.0,66.0,61.0,70.0,65.0,Right,8
"CB, CDM",José María Amo Torres,70,25,181,Tenerife,La Liga 2,57,59.0,38.0,55.0,63.0,69.0,73.0,Right,13
CB,Scott Wharton,70,25,182,Blackburn Rovers,Championship,60,63.0,32.0,50.0,62.0,69.0,76.0,Left,15
"RB, RWB",Callum Brittain,70,25,181,Blackburn Rovers,Championship,68,80.0,51.0,60.0,68.0,65.0,65.0,Right,10
ST,Janni-Luca Serra,70,25,193,AGF,Superliga,59,73.0,68.0,53.0,62.0,37.0,78.0,Left,8
CB,Elias Cobbaut,70,25,188,Mechelen,Jupiler Pro League,67,68.0,41.0,67.0,67.0,68.0,76.0,Left,10
ST,Iké Dominique Ugbo,70,24,185,Cardiff City,Championship,67,74.0,68.0,57.0,68.0,29.0,69.0,Right,11
CB,Rick van Drongelen,70,24,187,Samsunspor,Super Lig,47,60.0,26.0,56.0,53.0,69.0,73.0,Left,14
"CDM, CM",Iván Andrés Rojas Vásquez,70,25,178,Santa Fe,Liga BetPlay,50,61.0,45.0,61.0,59.0,69.0,69.0,Left,11
"RB, RWB, RM",Claud Adjapong,70,25,180,Ascoli,Serie B,70,71.0,51.0,65.0,71.0,68.0,60.0,Right,13
CB,Lluís López Mármol,70,26,182,Real Zaragoza,La Liga 2,55,65.0,36.0,57.0,61.0,70.0,72.0,Right,8
"RB, CB, CDM",Ross McCrorie,70,25,187,Bristol City,Championship,70,78.0,53.0,61.0,68.0,67.0,83.0,Right,10
"LM, ST",Myziane Maolida,70,24,181,Hertha BSC,2. Bundesliga,77,75.0,67.0,62.0,76.0,24.0,59.0,Right,9
ST,Ragnar Ache,70,24,183,Kaiserslautern,2. Bundesliga,67,86.0,65.0,51.0,67.0,28.0,75.0,Right,6
ST,Rafael Sebastián Mújica García,70,24,185,Arouca,Liga Portugal,69,66.0,71.0,59.0,70.0,34.0,67.0,Right,15
"LB, LWB",Harry Pickering,70,24,183,Blackburn Rovers,Championship,65,73.0,51.0,64.0,65.0,66.0,70.0,Left,11
CB,Mamadou Fofana,70,25,186,Amiens SC,Ligue 2,61,64.0,33.0,54.0,63.0,69.0,77.0,Right,13
"RW, RM, CM",Rafik Guitane,70,24,170,Estoril,Liga Portugal,79,76.0,58.0,66.0,77.0,31.0,53.0,Left,7
"CB, RWB",Phil Yannik Neumann,70,25,192,Hannover 96,2. Bundesliga,65,87.0,33.0,61.0,66.0,69.0,76.0,Right,14
"CM, CDM, CAM",Pedro Díaz Fanjul,70,25,180,Bordeaux,Ligue 2,68,68.0,73.0,72.0,70.0,65.0,70.0,Right,7
"LB, LM, RM",Ángelo Martino,70,25,178,Newell's Old Boys,Liga Profesional,69,75.0,57.0,65.0,71.0,65.0,63.0,Left,14
"CM, LW",Mikael Neville Anderson,70,25,180,AGF,Superliga,74,79.0,65.0,69.0,75.0,64.0,73.0,Right,14
RB,Alfons Sampsted,70,25,180,FC Twente,Eredivisie,66,81.0,47.0,60.0,68.0,63.0,72.0,Right,15
ST,Aliou Badji,70,25,189,Bordeaux,Ligue 2,68,87.0,69.0,44.0,67.0,26.0,85.0,Right,12
"CDM, CM",Yvan Neyou Noupa,70,26,180,Leganés,La Liga 2,77,65.0,60.0,64.0,74.0,68.0,68.0,Right,15
"CAM, RM",Yeison Estiven Guzmán Gómez,70,25,169,Deportes Tolima,Liga BetPlay,73,76.0,65.0,68.0,73.0,29.0,42.0,Right,8
ST,Ola Brynhildsen,70,24,175,Midtjylland,Superliga,71,85.0,70.0,63.0,72.0,49.0,67.0,Right,7
"LW, RW",Michael Andrew Johnston,70,24,178,,,74,85.0,64.0,63.0,74.0,29.0,47.0,Right,10
CB,Mickaël Nadé,70,24,188,Saint-Étienne,Ligue 2,44,34.0,30.0,44.0,51.0,70.0,82.0,Right,5
"CDM, CB",Melle Meulensteen,70,23,187,Vitesse,Eredivisie,62,71.0,57.0,65.0,66.0,68.0,73.0,Right,10
"RM, CAM",Abdoulie Jallow,70,24,166,Metz,Ligue 1,73,78.0,66.0,66.0,74.0,34.0,46.0,Left,13
"LWB, LB, LM",Ricardo Luís Chaby Mangas,70,25,179,Vitória SC,Liga Portugal,65,71.0,46.0,61.0,68.0,65.0,74.0,Left,7
"RW, CM",Carlo Johan Holse Justesen,70,24,177,Samsunspor,Super Lig,70,79.0,63.0,67.0,73.0,53.0,66.0,Left,6
"CDM, CM",Kevin Facundo Gutiérrez,70,26,168,Defensa y Justicia,Liga Profesional,69,76.0,60.0,67.0,72.0,63.0,71.0,Right,9
"CM, CDM, LM",Regan Slater,70,23,171,Hull City,Championship,72,71.0,63.0,69.0,73.0,65.0,69.0,Right,12
"CAM, LM, CF",Dominik Fitz,70,24,174,Austria Wien,Bundesliga,68,73.0,67.0,71.0,69.0,33.0,54.0,Right,10
"RW, ST, CM",고재현 Jae Hyeon Ko,70,24,180,Daegu,K League 1,73,85.0,67.0,57.0,71.0,35.0,70.0,Right,13
"RM, CM",Kevin Simone Sessa,70,22,175,Heidenheim,Bundesliga,71,82.0,58.0,67.0,72.0,61.0,59.0,Right,6
CM,Alistair Edward McCann,70,23,176,Preston North End,Championship,67,68.0,59.0,65.0,69.0,70.0,72.0,Right,7
"CM, CDM, CAM",Adalberto Eliécer Carrasquilla Alcázar,70,24,170,Houston Dynamo,Major League Soccer,78,73.0,61.0,65.0,78.0,59.0,69.0,Right,14
"ST, RM",Maximiliano Nahuel Salas,70,25,172,Palestino,Primera Division,75,71.0,72.0,67.0,73.0,27.0,66.0,Left,9
GK,Daniel Cerântula Fuzato,70,25,190,Getafe,La Liga,15,,,,,,,Right,67
"LB, CB",Javier Hernández Carrera,70,25,182,Cádiz,La Liga,64,67.0,50.0,64.0,65.0,69.0,71.0,Left,14
RB,Maxime Busi,70,23,182,Stade de Reims,Ligue 1,68,70.0,49.0,63.0,68.0,67.0,66.0,Right,8
CB,Gianluca Ferrari,70,26,181,Godoy Cruz,Liga Profesional,59,72.0,43.0,58.0,60.0,69.0,77.0,Right,14
"LM, CAM, CM",Alejandro Blanco Sánchez,70,24,175,Como,Serie B,70,81.0,63.0,66.0,72.0,37.0,54.0,Left,6
"RB, RWB, RM",Ángelo Smit Preciado Quiñónez,70,25,173,Sparta Praha,Fortuna Liga,73,83.0,60.0,61.0,71.0,63.0,63.0,Right,14
"LB, LWB",Leif Davis,70,23,180,Ipswich Town,Championship,66,79.0,46.0,66.0,67.0,64.0,66.0,Left,13
"CDM, CM",Jaume Grau Ciscar,70,26,182,Real Zaragoza,La Liga 2,63,64.0,58.0,67.0,65.0,67.0,72.0,Left,8
"CM, CDM",Lawrence Ofori,70,25,181,Moreirense,Liga Portugal,76,72.0,64.0,66.0,75.0,61.0,61.0,Right,10
"CDM, CM",Carlos Gabriel Villalba Rivas,70,24,175,Emelec,Liga Pro,69,65.0,51.0,60.0,68.0,69.0,74.0,Right,8
CM,Adam Gnezda Čerin,70,23,180,Panathinaikos,Super League,71,72.0,61.0,69.0,73.0,53.0,64.0,Right,10
"LW, LM, RW",송민규 Min Kyu Song,70,23,179,Jeonbuk Motors,K League 1,72,81.0,69.0,60.0,73.0,35.0,74.0,Right,11
